id,group,index,topology,oc,pump_mW,GDD_ps2,rounds,status,energy_pJ,energy_mean_pJ,energy_min_pJ,energy_max_pJ,energy_cv,peaks,single_tail,residual,edge_max,spectral_edge_max,FWHM_ps,CNT_energy_pJ,CNT_peak_W,inversion_gap,inversion_drift,numerical_pass,energy_range_pass,screen_candidate,dt_ps,source
g00_c00,0,0,OC_CNT,0.2,5.0,-0.1,20,spectral_boundary,486.21511773501857,425.36808472276635,299.99556841314313,533.6241915241469,0.18017887187527812,17,False,0.39521385176092105,6.302475922706574e-07,0.0032351889661198863,0.375,1944.8604709400743,256.9783024953326,0.11437193688081598,0.0006484679959172235,False,False,False,0.125,fine_group_00.mat
g00_c01,0,1,OC_CNT,0.2,10.0,-0.1,20,spectral_boundary,491.1339332349085,427.28584287367977,299.99556841314313,538.3907060940971,0.18321115399908813,19,False,0.41715583329304184,8.547012860661781e-08,0.0041374483506824294,0.375,1964.5357329396343,235.13315431523898,0.11344163279465352,0.0004953856206272311,False,False,False,0.125,fine_group_00.mat
g00_c02,0,2,OC_CNT,0.2,15.0,-0.1,20,spectral_boundary,491.74444804950133,428.99540015611166,299.99556841314313,543.1880468913049,0.18592570119735297,19,False,0.5056964805058752,5.677358900052681e-07,0.009783341482693794,0.25,1966.9777921980053,311.06581217553367,0.1514806176896627,0.0003416482746317895,False,False,False,0.125,fine_group_00.mat
g00_c03,0,3,OC_CNT,0.2,20.0,-0.1,20,spectral_boundary,498.454328207008,431.0162897076769,299.99556841314313,548.0159459780805,0.1890709790524117,18,False,0.519230439289818,3.3906881807784977e-07,0.006494819899272048,0.25,1993.8173128280318,304.89934716540284,0.19029194809309868,0.00018888758783297543,False,False,False,0.125,fine_group_00.mat
g00_c04,0,4,OC_CNT,0.2,30.0,-0.1,20,spectral_boundary,511.48978770147136,435.05166500236044,299.99556841314313,557.7621608570164,0.19532170040648908,16,False,0.5334381760060822,3.4159843680983585e-07,0.0033244821783012645,0.375,2045.959150805886,327.115000771277,0.24176830767439506,0.00011668697599631628,False,False,False,0.125,fine_group_00.mat
g00_c05,0,5,OC_CNT,0.2,50.0,-0.1,20,spectral_boundary,525.129760413559,442.4472032925868,299.99556841314313,577.6047512915497,0.20642412420416967,19,False,0.5773977983301342,5.005687003900133e-07,0.0070062098963228755,0.625,2100.5190416542355,377.51484976272405,0.30036186395377473,0.0007297690755464492,False,False,False,0.125,fine_group_00.mat
g00_c06,0,6,OC_CNT,0.2,100.0,-0.1,20,spectral_boundary,587.4498906049172,464.2593696148262,299.99556841314313,628.9488687027065,0.23928131517962387,15,False,0.5966569930906099,7.966314201856411e-07,0.00612536177501423,0.375,2349.7995624196683,449.51984188659685,0.35072422088679256,0.0022542477746971823,False,False,False,0.125,fine_group_00.mat
g00_c07,0,7,OC_CNT,0.2,150.0,-0.1,20,spectral_boundary,618.9481618277234,484.16565875136365,299.99556841314313,680.4173385624867,0.265546913002698,20,False,0.664718497164112,1.60538877772425e-06,0.010022200795445779,0.5,2475.792647310893,456.7682792622626,0.37089593780991204,0.003783460315449849,False,False,False,0.125,fine_group_00.mat
g00_c08,0,8,OC_CNT,0.3,5.0,-0.1,40,spectral_boundary,270.67777644871353,406.4699753617229,270.67777644871353,571.0223617575424,0.22070478474581245,20,False,0.5939244339404627,8.302611745605983e-08,0.0027037310697824676,0.5,631.5814783803318,103.52841595313285,0.14272973635877007,0.0008901428966262559,False,False,False,0.125,fine_group_00.mat
g00_c09,0,9,OC_CNT,0.3,10.0,-0.1,40,spectral_boundary,275.70251450801766,411.1189516021269,275.70251450801766,579.3254717161535,0.2221868858286857,23,False,0.6598255971726777,1.450687258023197e-07,0.003214316826750885,0.625,643.3058671853747,100.90553688214405,0.2069637378819773,0.0005806478039760421,False,False,False,0.125,fine_group_00.mat
g00_c10,0,10,OC_CNT,0.3,15.0,-0.1,40,spectral_boundary,289.6277218562934,419.1366168851976,289.6277218562934,587.684751024862,0.21587082595602555,19,False,0.634499251288363,3.1305931242940146e-07,0.004245133776081104,0.5,675.7980176646847,109.35954127132909,0.25568702701217816,0.00027984178686235595,False,False,False,0.125,fine_group_00.mat
g00_c11,0,11,OC_CNT,0.3,20.0,-0.1,40,spectral_boundary,329.72896881583847,433.4835929478689,299.99487886363056,596.0948268824557,0.19658646969423477,14,False,0.6877266514287137,7.303635944855416e-07,0.004460031045482666,0.5,769.3675939036232,188.9356242022879,0.2769112775787699,4.3258835522586025e-06,False,False,False,0.125,fine_group_00.mat
g00_c12,0,12,OC_CNT,0.3,30.0,-0.1,40,spectral_boundary,341.23195863357626,440.5372441557226,299.99487886363056,613.0430471544038,0.20330655946199108,21,False,0.6324705382274042,1.085474374775624e-06,0.006508337885296368,0.625,796.2079034783446,156.95689250349307,0.3147169591169424,0.0006285461715945795,False,False,False,0.125,fine_group_00.mat
g00_c13,0,13,OC_CNT,0.3,50.0,-0.1,40,spectral_boundary,404.27429503222544,466.6938826355501,299.99487886363056,647.2510351212898,0.2012571641316227,16,False,0.7939893200217563,1.6905281386572412e-06,0.0082886160532771,0.875,943.3066884085262,191.1448618214102,0.3408545125181617,0.001845619525333797,False,False,False,0.125,fine_group_00.mat
g00_c14,0,14,OC_CNT,0.3,100.0,-0.1,40,spectral_boundary,546.2701043858717,521.6021709010374,299.99487886363056,738.4385552624153,0.2257882258955693,15,False,0.6688000679453828,2.2259032404309573e-06,0.00801983577367002,0.5,1274.6302435670343,256.29949311825715,0.35615286864630247,0.004913098729491083,False,False,False,0.125,fine_group_00.mat
g00_c15,0,15,OC_CNT,0.3,150.0,-0.1,40,spectral_boundary,738.3693228502027,603.0918549104042,299.99487886363056,840.1117610650808,0.2735497210583379,21,False,0.7129774124511971,1.709402141807637e-06,0.006579896628950856,0.5,1722.8617533171398,307.01513639951463,0.35117215322325956,0.007911422863133843,False,False,False,0.125,fine_group_00.mat
g00_c16,0,16,OC_CNT,0.4,5.0,-0.1,40,spectral_boundary,382.22669482660325,446.7062983230161,299.99405543839146,593.5895246109798,0.19138609631322342,12,False,0.6749924065303651,2.831470374957955e-08,0.00047533203668672654,0.625,573.3400422399048,117.0039565510128,0.16161904216550071,0.0008105439061925068,False,False,False,0.125,fine_group_00.mat
g00_c17,0,17,OC_CNT,0.4,10.0,-0.1,40,spectral_boundary,396.60629976486956,452.9640235455652,299.99405543839146,606.2940807856703,0.1952682250092807,13,False,0.6221411349521748,3.937553781687087e-08,0.0005695432591280918,0.75,594.9094496473043,111.03361098872773,0.19472987353803306,0.0005029978438165772,False,False,False,0.125,fine_group_00.mat
g00_c18,0,18,OC_CNT,0.4,15.0,-0.1,40,spectral_boundary,413.26700011733897,458.9829458366523,299.99405543839146,619.4313719230921,0.19958844115016325,15,False,0.588742500266355,6.473195220880034e-08,0.0006850481804217165,0.75,619.9005001760086,112.08355890487192,0.24338543864861706,0.00019504919034218915,False,False,False,0.125,fine_group_00.mat
g00_c19,0,19,OC_CNT,0.4,20.0,-0.1,40,spectral_boundary,415.5460633615207,463.6823805538679,299.99405543839146,632.77824590809,0.2057252019097646,16,False,0.5929277547470991,7.713886568198207e-08,0.000837795792626416,0.625,623.3190950422809,107.96893714478206,0.27525412221047174,0.00011596122356039018,False,False,False,0.125,fine_group_00.mat
g00_c20,0,20,OC_CNT,0.4,30.0,-0.1,40,spectral_boundary,442.54604779436926,476.4828048682257,299.99405543839146,660.0753558295817,0.21621856472563641,16,False,0.5598109641329452,1.486127473110525e-07,0.001488531541064515,0.5,663.819071691554,99.67100223909762,0.3075672048366306,0.0007303964362288529,False,False,False,0.125,fine_group_00.mat
g00_c21,0,21,OC_CNT,0.4,50.0,-0.1,40,spectral_boundary,509.96971114509836,506.57695068020365,299.99405543839146,716.7960450511309,0.2382269056771501,16,False,0.5817134070260589,1.6332586897350438e-07,0.0024909859846196105,0.5,764.9545667176477,113.19362139128481,0.332875292106498,0.0019495332715112612,False,False,False,0.125,fine_group_00.mat
g00_c22,0,22,OC_CNT,0.4,100.0,-0.1,40,spectral_boundary,727.4214316894378,593.2736246208021,299.99405543839146,861.9681815559286,0.30297073232791677,18,False,0.6915798915958258,5.353506778880423e-08,0.001219437712605793,0.5,1091.1321475341565,133.14785019267413,0.3431903969969373,0.004971346022230927,False,False,False,0.125,fine_group_00.mat
g00_c23,0,23,OC_CNT,0.4,150.0,-0.1,40,spectral_boundary,997.3325470083546,696.8710963377629,299.99405543839146,1026.8495910844724,0.37398766887204815,20,False,0.63845080156021,9.338708225355854e-07,0.007442990627710847,0.625,1495.998820512532,207.20246506708315,0.3374708507254943,0.00795521776324426,False,False,False,0.125,fine_group_00.mat
g00_c24,0,24,OC_CNT,0.5,5.0,-0.1,40,spectral_boundary,510.88115987725496,465.0607727605078,299.9930727893835,613.822443412029,0.21253813885443318,8,False,0.6950609746480018,7.930113416837124e-09,5.4847803013720926e-05,0.625,510.8811598772549,89.55176964120871,0.18411984320907088,0.00073967295194588,False,False,False,0.125,fine_group_00.mat
g00_c25,0,25,OC_CNT,0.5,10.0,-0.1,40,spectral_boundary,535.7437821559208,473.7232243418006,299.9930727893835,632.8342616300415,0.22348604931411784,8,False,0.694335108649394,5.089154516014493e-09,3.531185347216388e-05,0.875,535.7437821559209,97.39657001427996,0.18184716335778628,0.0004355838156472336,False,False,False,0.125,fine_group_00.mat
g00_c26,0,26,OC_CNT,0.5,15.0,-0.1,40,spectral_boundary,550.9656137632344,481.49054656458355,299.9930727893835,651.9535637344777,0.2331749778457477,8,False,0.6099531435499332,2.519671792453386e-09,4.7669106684197135e-05,0.875,550.9656137632344,107.38428198148746,0.2304837435148882,0.00012975657251435013,False,False,False,0.125,fine_group_00.mat
g00_c27,0,27,OC_CNT,0.5,20.0,-0.1,40,spectral_boundary,564.5441191413672,488.8826790716706,299.9930727893835,671.0450990059846,0.24212821530384218,8,False,0.5358309757430755,5.054520474595198e-09,0.0001132164813736161,0.75,564.5441191413672,134.63107117337228,0.2593868909381625,0.00017674067643747016,False,False,False,0.125,fine_group_00.mat
g00_c28,0,28,OC_CNT,0.5,30.0,-0.1,40,spectral_boundary,580.1596129066736,504.17134108751907,299.9930727893835,709.3756441960231,0.2604111515064777,11,False,0.5524583266515661,3.70487783476339e-08,0.0002570960855927206,0.625,580.1596129066736,90.69410595192505,0.29264576681498977,0.0007889727721096529,False,False,False,0.125,fine_group_00.mat
g00_c29,0,29,OC_CNT,0.5,50.0,-0.1,40,spectral_boundary,669.9626925461071,542.4727676636061,299.9930727893835,795.7722529895084,0.30192108202341056,14,False,0.6749838753153703,8.20172327635885e-09,0.00013474826104678948,0.75,669.9626925461071,95.78270081213229,0.31593463561941715,0.0019983966628368544,False,False,False,0.125,fine_group_00.mat
g00_c30,0,30,OC_CNT,0.5,100.0,-0.1,40,spectral_boundary,925.8377569246188,645.1575673568261,299.9930727893835,1022.044268264584,0.392040439388,14,False,0.6062542078996835,4.3434769495824196e-08,0.0002797863879316228,0.5,925.8377569246188,206.25865966001714,0.32630725975329644,0.005007343040386747,False,False,False,0.125,fine_group_00.mat
g00_c31,0,31,OC_CNT,0.5,150.0,-0.1,40,spectral_boundary,1289.2325497465126,770.2309856856755,299.9930727893835,1289.2325497465126,0.47527116275963993,17,False,0.5583761728265582,3.4647157525386366e-07,0.0013913935389375256,0.25,1289.2325497465124,172.20510538103503,0.32003810810465805,0.007972078012058459,False,False,False,0.125,fine_group_00.mat
g00_c32,0,32,OC_CNT,0.6,5.0,-0.1,600,completed,32.52680972528421,34.4920914088986,32.52680972528421,36.724377081012356,0.033302421690221365,3,False,0.0161858781785543,8.493285455959623e-25,4.6972819947012837e-29,2.125,21.684539816856145,2.919017658053554,0.3317777754751843,4.5068467461328865e-05,True,False,False,0.125,fine_group_00.mat
g00_c33,0,33,OC_CNT,0.6,10.0,-0.1,60,spectral_boundary,445.122227480104,488.11319272119215,299.9918662286536,656.6805703018786,0.21100317510506575,8,False,0.5190198280674979,8.450625789193649e-11,3.2061715498332305e-06,0.625,296.7481516534026,84.62311514682104,0.2107022793230523,0.0005823422320034854,False,False,False,0.125,fine_group_00.mat
g00_c34,0,34,OC_CNT,0.6,15.0,-0.1,40,spectral_boundary,675.0114003252478,475.4468287003654,299.9918662286536,685.0824177787499,0.25779964361096463,6,False,0.1401372353296928,3.1189228837859027e-13,1.0724013069520249e-08,4.0,450.00760021683186,45.00546358284764,0.21920622304196957,5.207797975292916e-05,False,False,False,0.125,fine_group_00.mat
g00_c35,0,35,OC_CNT,0.6,20.0,-0.1,40,spectral_boundary,699.5868121842514,485.18956876166703,299.9918662286536,713.5612417129103,0.27230416743005414,7,False,0.1648337208936579,1.0253209743537143e-12,6.706457137667215e-08,4.125,466.3912081228343,45.65557131246933,0.24486757033506812,0.00025052496644617506,False,False,False,0.125,fine_group_00.mat
g00_c36,0,36,OC_CNT,0.6,30.0,-0.1,40,spectral_boundary,752.3843829404816,505.42997930457784,299.9918662286536,771.5455038495948,0.30104284857176844,7,False,0.31607112693305456,4.7251082535135325e-12,4.5185049212066614e-07,1.25,501.5895886269877,61.19079963942867,0.2723070892186754,0.0008543852892058945,False,False,False,0.125,fine_group_00.mat
g00_c37,0,37,OC_CNT,0.6,50.0,-0.1,40,spectral_boundary,855.7046652454287,548.452567987757,299.9918662286536,895.667250226156,0.35567903026563846,4,False,0.5214204586650549,1.1355290492574487e-09,2.190556777520915e-05,0.625,570.4697768302857,135.34295236527657,0.2943872434559136,0.0020576971643820885,False,False,False,0.125,fine_group_00.mat
g00_c38,0,38,OC_CNT,0.6,100.0,-0.1,40,spectral_boundary,1168.2869234653754,671.8827049033425,299.9918662286536,1247.2336561301613,0.475246300757696,6,False,0.45399895688724273,2.7934575079292953e-08,0.00023131332923870178,0.25,778.857948976917,222.2026308091203,0.303971930944679,0.005037720671406842,False,False,False,0.125,fine_group_00.mat
g00_c39,0,39,OC_CNT,0.6,150.0,-0.1,40,spectral_boundary,1612.4030352973123,821.7884183392855,299.9918662286536,1612.9813668793427,0.5742579634870076,11,False,0.5089220977394397,1.3738497215201307e-07,0.0004782548293649091,0.375,1074.9353568648748,138.41715146468857,0.2981853625549563,0.007970596696381671,False,False,False,0.125,fine_group_00.mat
g00_c40,0,40,OC_CNT,0.7,5.0,-0.1,600,completed,23.386943287880335,26.10235368403808,23.386943287880335,29.42752406283951,0.06709534110912475,4,False,0.009396765322356856,1.2810086277065135e-24,1.0259392427720577e-30,4.5,10.022975694805858,0.6577220142277176,0.3715782935132331,4.278473821850426e-05,True,False,False,0.125,fine_group_00.mat
g00_c41,0,41,OC_CNT,0.7,10.0,-0.1,120,spectral_boundary,306.84953394024956,471.50419756964345,306.84953394024956,686.3369240472637,0.2396390327718262,4,False,0.5314126524216777,1.7124945085903006e-13,6.329658290528373e-08,0.625,131.50694311724982,63.478741033986836,0.24557772275717643,0.0007979000503851585,False,False,False,0.125,fine_group_00.mat
g00_c42,0,42,OC_CNT,0.7,15.0,-0.1,600,completed,445.1904292514862,474.5176621704615,444.1228393308536,514.6859801059843,0.04754972075947473,15,False,0.08498441248594943,8.863835424975348e-19,2.575704115052788e-13,0.875,190.79589825063695,19.61120977112468,0.21222059029767554,3.4335363696680332e-06,True,False,False,0.125,fine_group_00.mat
g00_c43,0,43,OC_CNT,0.7,20.0,-0.1,600,completed,665.8453767564255,629.802956337766,604.494380320855,665.8453767564255,0.031367494709472435,19,False,0.03215185731318195,1.0131868598632373e-20,2.8078967967629932e-15,1.0,285.36230432418245,17.407761875896256,0.19879604095431225,0.0002236838106384198,True,False,False,0.125,fine_group_00.mat
g00_c44,0,44,OC_CNT,0.7,30.0,-0.1,60,spectral_boundary,785.4979794095693,592.1321623329628,299.99030853571526,861.141025535364,0.3283347506361392,5,False,0.5230499481896943,1.752343469870178e-11,1.6394261112041748e-06,0.625,336.6419911755298,85.07481130240912,0.252562758315097,0.001156343732784726,False,False,False,0.125,fine_group_00.mat
g00_c45,0,45,OC_CNT,0.7,50.0,-0.1,60,spectral_boundary,1045.447378151709,689.8520991190803,299.99030853571526,1049.840636074956,0.4047523361581596,10,False,0.5147442224182747,8.720262795322994e-11,4.054552703131477e-06,0.75,448.0488763507325,81.0852152366405,0.2624238091529171,0.002846543090245124,False,False,False,0.125,fine_group_00.mat
g00_c46,0,46,OC_CNT,0.7,100.0,-0.1,60,spectral_boundary,2198.496817005669,1035.0417996454821,299.99030853571526,2198.496817005669,0.5893072225282185,10,False,0.659575771583304,3.141896865337418e-09,2.7122047642705128e-05,0.625,942.2129215738585,144.82179912691402,0.25214437805939793,0.006838606125320168,False,False,False,0.125,fine_group_00.mat
