round,energy_pJ,cnt_peak_W,cnt_q_min,inversion_gap,tau_max_us,peaks,time_edge,spectral_edge,dt_ps,n,gain_age_min,gain_memory_max
601,1873.4099085569887,118.11323225970598,0.012650573634884204,0.17622066267958436,198.34039345968404,1,1.3320557794349573e-22,1.0670993512440996e-30,0.125,8192,0.0005042072476956473,0.9994959198434177
602,1874.7219620964408,118.05407953366979,0.012655315094387144,0.17613323784663798,198.19401536970105,1,1.3546012361988004e-22,1.1250686209906347e-30,0.125,8192,0.0010087868824875225,0.998991721771944
603,1876.0790698297478,117.99467618467719,0.01266007999806,0.17604661770093394,198.04463930146932,1,1.3775160947725881e-22,9.422531828179613e-31,0.125,8192,0.0015137470987595168,0.9984873980384911
604,1877.478453907437,117.93639521446933,0.012664696673426441,0.17596074952030516,197.8924614080991,1,1.4006350741919184e-22,1.0476375646409421e-30,0.125,8192,0.0020190956258413382,0.9979829413765336
605,1878.9182315999365,117.87820667268745,0.012669371687183292,0.17587559280687687,197.73761487289178,1,1.4238981065210949e-22,1.0508735070605062e-30,0.125,8192,0.0025248398867775456,0.9974783448405766
606,1880.4043555872422,117.81966506950458,0.012674078322417189,0.17579124862393386,197.5797106032282,1,1.447476125963933e-22,9.375493362426101e-31,0.125,8192,0.0030309883348537984,0.9969736004729108
607,1881.934777771978,117.76035990203584,0.012678849596377386,0.17570767712952173,197.4188963047261,1,1.4715546176137222e-22,1.1320396786321648e-30,0.125,8192,0.003537549083419715,0.996468700671562
608,1883.5070655589816,117.69986486972151,0.012683719971669527,0.17562482803915663,197.25534248217903,1,1.496133639350991e-22,1.0927706220887366e-30,0.125,8192,0.004044529845688366,0.9959636382494026
609,1885.126901370378,117.63889273714143,0.012688632302071977,0.1755427964141914,197.08868048674282,1,1.521055862269474e-22,1.120581689548765e-30,0.125,8192,0.00455193932068308,0.9954584050535
610,1886.7929724150324,117.57713644367496,0.012693611372561833,0.17546155521434093,196.91900959439047,1,1.5461681537763485e-22,1.0712655246453737e-30,0.125,8192,0.005059785993785725,0.994952993161018
611,1888.502411418541,117.51409541077568,0.012698697717346854,0.17538104651208752,196.74652967589412,1,1.5714649824743873e-22,1.0238610211673579e-30,0.125,8192,0.005568077876025882,0.9944473951379548
612,1890.2605615186167,117.45043208841983,0.012703838149076815,0.175301358166067,196.5708971087899,1,1.5971351143743696e-22,1.013653886297256e-30,0.125,8192,0.006076823907936357,0.9939416026426062
613,1892.0668359747028,117.38603449442108,0.012708988862316776,0.1752224755789729,196.392163795339,1,1.623320203369528e-22,1.0112829520981918e-30,0.125,8192,0.006586032941334422,0.9934356074394681
614,1893.9180488235945,117.3232076463003,0.012714070602308468,0.17514433530233886,196.21055105470592,1,1.6500128800868653e-22,1.1173860217698979e-30,0.125,8192,0.007095713299274483,0.9929294018359628
615,1895.8191501661045,117.25959581507023,0.012719219707604056,0.17506701708418992,196.02574379345668,1,1.677040514825034e-22,1.1253595393131827e-30,0.125,8192,0.0076058741687496136,0.9924229772989694
616,1897.7702578530345,117.19507908167502,0.012724446003976061,0.1749905181831905,195.8377484436374,1,1.7042389144592983e-22,9.700898496514894e-31,0.125,8192,0.008116524769504252,0.9919163252814973
617,1899.767980927034,117.12906306232674,0.012729797846235015,0.17491477166953212,195.64680011674682,1,1.731659503227924e-22,1.0215736328768066e-30,0.125,8192,0.008627673757545477,0.9914094378141525
618,1901.8168375551809,117.06208246109688,0.012735232201104212,0.17483984855162288,195.45261471851353,1,1.759492536370207e-22,1.1145961648061735e-30,0.125,8192,0.009139330580541697,0.990902306160661
619,1903.9176193274905,116.99411096747978,0.012740751371948317,0.1747657571835618,195.25515576012654,1,1.7878630929469685e-22,1.0952253739749042e-30,0.125,8192,0.009651504835320589,0.9903949214562274
620,1906.0668395420332,116.9245241488172,0.012746406298721931,0.17469242906919874,195.0546649046472,1,1.8167332556209408e-22,1.0722985042611059e-30,0.125,8192,0.010164205538695546,0.9898872754297353
621,1908.2685591445145,116.85377956057084,0.012752160154452451,0.17461992609755933,194.8508905999347,1,1.845909022114693e-22,1.0001424423124142e-30,0.125,8192,0.010677442422475088,0.9893793591210418
622,1910.52420575182,116.78193747533567,0.01275800826013014,0.17454826683275693,194.64375645268632,1,1.8752705664176004e-22,1.0217915878164278e-30,0.125,8192,0.011191225477815413,0.9888711633333933
623,1912.8303005973562,116.70971229965099,0.01276385048221479,0.17447738298037807,194.43350393233817,1,1.9048735830674303e-22,9.992169174914609e-31,0.125,8192,0.011705564117353484,0.9883626794622269
624,1915.190434074784,116.63780005152795,0.012769715736702287,0.17440732714256346,194.21991477702846,1,1.9349329211295622e-22,1.011710316859646e-30,0.125,8192,0.012220468389698511,0.987853898293985
625,1917.6066271443233,116.56465308137815,0.012775686895461795,0.1743381271190343,194.00287604111833,1,1.9655549027460215e-22,1.0119537667203994e-30,0.125,8192,0.012735948705938686,0.9873448102777921
626,1920.075506819951,116.489634724782,0.012781816247792059,0.17426971643219874,193.7826227709224,1,1.9966394421081958e-22,1.0452939415369655e-30,0.125,8192,0.013252014916949766,0.9868354064369511
627,1922.600189981781,116.41304166967984,0.012788079998892143,0.17420213840664733,193.5589700743347,1,2.0280092680805061e-22,9.889254794896074e-31,0.125,8192,0.01376867742995432,0.9863256772662555
628,1925.1832443621813,116.33506960011293,0.012794462491000327,0.17413542903489315,193.3317720675155,1,2.0595697122180372e-22,1.0387179578176346e-30,0.125,8192,0.014285947110068023,0.9858156128304949
629,1927.8214950070226,116.25509294996714,0.012801015309577689,0.17406952512152313,193.10125164568072,1,2.0913911944298992e-22,1.0628975164854512e-30,0.125,8192,0.014803834296406288,0.9853052037350909
630,1930.5175915634354,116.17332097535788,0.012807721822044982,0.17400446087301485,192.8672567903895,1,2.1236889200510982e-22,1.0426264078652688e-30,0.125,8192,0.015322349805764444,0.9847944401363704
631,1933.274598430501,116.09000826383458,0.012814561575159412,0.1739402793705918,192.62961253239226,1,2.1565175072414492e-22,1.0497212260097322e-30,0.125,8192,0.01584150499991385,0.9842833116765816
632,1936.089625646035,116.00455281468778,0.012821584444566058,0.17387692202097543,192.3885243720395,1,2.1898208834842e-22,1.095048993277108e-30,0.125,8192,0.016361310763898976,0.9837718084904472
633,1938.9648707018,115.91965947242721,0.01282853896684813,0.17381441420765276,192.14387213919383,1,2.2233838346089007e-22,1.0951774249037738e-30,0.125,8192,0.01688177838422846,0.9832599203404938
634,1941.9038409305526,115.83345784816404,0.012835639478260894,0.17375280493449735,191.89545587693925,1,2.2571223755895655e-22,1.0787231113831299e-30,0.125,8192,0.017402919770490945,0.9827476364003268
635,1944.9040129815207,115.74495910648031,0.012842936993865768,0.17369204138296995,191.6434589385861,1,2.2911490520036257e-22,1.0222478235062674e-30,0.125,8192,0.017924746419034302,0.9822349462741792
636,1947.9671562953997,115.65420973875413,0.01285042834392285,0.17363214054159076,191.3877914495715,1,2.3256456782644703e-22,1.023368071516278e-30,0.125,8192,0.018447270155453138,0.9817218392669806
637,1951.0971636462523,115.56154001370486,0.012858086872769417,0.17357315610780116,191.1282328154924,1,2.360692663029769e-22,1.0882751751239244e-30,0.125,8192,0.01897050349685969,0.9812083040297843
638,1954.291953898555,115.46642326353887,0.012865956729459385,0.1735150420504088,190.8649400312049,1,2.3961616592167153e-22,9.638916220006458e-31,0.125,8192,0.019494458623855924,0.9806943295697718
639,1957.5529022474057,115.36882418159674,0.012874041604831715,0.17345780752810203,190.5978514124773,1,2.431876539121387e-22,1.0141238081511198e-30,0.125,8192,0.02001914797975405,0.9801799046620953
640,1960.8842259050707,115.26909835384286,0.012882312774274339,0.17340150964571666,190.34283060052792,1,2.4677406501447617e-22,1.062134218285147e-30,0.125,8192,0.020544584757498357,0.9796650173735848
641,1964.2843541768354,115.16676971498808,0.012890810462108725,0.17334610998826472,190.09165052295575,1,2.5038793537274335e-22,1.000993126386787e-30,0.125,8192,0.021070781902282648,0.9791496560413198
642,1967.7543122503255,115.06252612182134,0.012899462719011257,0.17329161059091347,189.83699185619744,1,2.5404868212905273e-22,9.382232623519145e-31,0.125,8192,0.021597752562984157,0.9786338088302603
643,1971.298578203562,114.9581007467119,0.012908158741884295,0.173238070640506,189.57863506971043,1,2.577587881374775e-22,9.934810761038465e-31,0.125,8192,0.022125510685403884,0.9781174631535728
644,1974.9161507445885,114.85089734287855,0.012917097895940241,0.173185459952149,189.3166597535275,1,2.6150853286909768e-22,9.925602819029059e-31,0.125,8192,0.022654070066822955,0.9776006065990166
645,1978.6077600716287,114.7407428963373,0.01292629561915049,0.17313377428127436,189.0510502937424,1,2.6527928087218214e-22,1.047981250328918e-30,0.125,8192,0.02318344465859421,0.9770832266329695
646,1982.3780807392557,114.62800432338122,0.012935722281165784,0.1730830735632125,188.7815808847747,1,2.690633512074099e-22,9.932784642147232e-31,0.125,8192,0.023713649245268885,0.9765653099376824
647,1986.2267284954123,114.51231765843292,0.012945409326030206,0.173033336210014,188.50830047447548,1,2.728702107993652e-22,9.82556649298555e-31,0.125,8192,0.024244698570644437,0.9760468432665274
